,sales
0,14
1,2
2,16
3,13
4,159
5,3
6,73
7,17
8,244
9,5
10,724
11,7
12,39
13,11
14,31
15,2
16,98
17,1
18,11
19,20
20,24
21,23
22,19
23,38
24,4
25,6
26,5
27,6
28,31
29,1
30,1
31,31
32,1
33,5
34,18
35,10
36,1
37,7
38,70
39,3
40,17
41,5
42,41
43,44
44,6
45,19
46,2
47,19
48,65
49,6
50,23
51,5
52,290
53,11
54,19
55,1
56,56
57,6
58,70
59,3
60,652
61,180
62,17
63,44
64,13
65,9
66,2
67,233
68,27
69,11
70,2
71,471
72,2
73,1
74,8
75,5
76,18
77,10
78,1
79,8
80,7
81,2
82,3
83,2
84,135
85,12
86,1
87,9
88,72
89,25
90,8
91,193
92,5
93,8
94,140
95,29
96,3
97,3
98,18
99,67
100,29
101,1
102,12
103,4
104,5
105,26
106,3
107,5
108,72
109,4
110,21
111,7
112,4
113,7
114,50
115,98
116,18
117,33
118,8
119,113
120,21
121,27
122,1
123,106
124,1
125,2
126,10
127,15
128,11
129,1
130,32
131,7
132,5
133,10
134,3
135,3
136,5
137,2
138,55
139,206
140,1
141,2
142,3
143,2
144,1
145,67
146,14
147,8
148,5
149,1
150,23
151,3
152,4
153,1
154,2
155,2
156,4
157,3
158,212
159,1
160,2
161,110
162,2
163,8
164,4
165,7
166,34
167,3
168,1
169,373
170,22
171,1
172,4
173,12
174,37
175,21
176,2
177,6
178,38
179,175
180,24
181,4
182,47
183,14
184,12
185,27
186,15
187,6
188,16
189,7
190,7
191,94
192,20
193,12
194,50
195,50
196,34
197,49
198,2
199,11
200,5
201,3
202,13
203,6
204,15
205,16
206,7
207,4
208,31
209,1
210,1
211,59
212,2
213,6
214,31
215,14
216,29
217,4
218,45
219,10
220,11
221,5
222,18
223,16
224,5
225,3
226,3
227,6
228,46
229,20
230,2
231,171
232,11
233,66
234,18
235,1
236,13
237,7
238,12
239,9
240,4
241,4
242,36
243,2
244,6
245,5
246,31
247,5
248,14
249,96
250,11
251,1
252,2
253,4
254,110
255,4
256,4
257,1
258,1
259,8
260,18
261,15
262,84
263,4
264,19
265,67
266,24
267,21
268,4
269,79
270,8
271,6
272,48
273,5
274,127
275,17
276,9
277,4
278,5
279,159
280,2
281,57
282,16
283,28
284,6
285,9
286,41
287,5
288,12
289,46
290,1
291,51
292,3
293,5
294,6
295,3
296,25
297,3
298,77
299,1
300,6
301,2
302,14
303,39
304,158
305,2
306,4
307,3
308,41
309,69
310,17
311,12
312,10
313,4
314,33
315,27
316,1
317,5
318,14
319,2
320,1
321,2
322,11
323,16
324,5
